lambda_year,lambda_reg,lambda_lag_reg,val_RMSE,val_MAPE_%,year_MAPE_%
0.3,0.1,1e-05,12265.65762010123,67.58571816508959,172.57487599780745
0.3,0.01,0.01,13840.788144751616,71.36470042798973,228.23105158138947
0.3,0.001,0.01,13959.225108287072,71.53643034901128,238.91203060514007
0.3,0.0001,0.01,13968.8770265931,71.54603027862453,240.0690509868826
0.3,1e-05,0.01,13969.774142519238,71.54674286890071,240.18622674083886
0.3,0.01,0.005,13973.678663683744,71.68135714863095,230.6020040443055
0.3,0.01,0.001,14082.256500695737,71.93923571188608,232.63359801460916
0.3,0.01,0.0001,14106.950373166754,71.99771424970079,233.10849374019682
0.3,0.001,0.005,14107.546878516077,71.89362301619362,241.50507528648322
0.3,0.01,1e-05,14109.427737026066,72.00356226376078,233.1566112985808
0.3,0.0001,0.005,14118.857400018012,71.9075933902365,242.68281211018697
0.3,1e-05,0.005,14119.957406713218,71.90888142403573,242.8012386870589
0.3,0.001,0.001,14228.453689917662,72.1837213065773,243.74123561700344
0.3,0.0001,0.001,14241.093060009458,72.20122149999054,244.93830458363973
0.3,1e-05,0.001,14242.348566445315,72.20289207407872,245.05936453824884
0.3,0.001,0.0001,14255.925022717958,72.24956998122096,244.26526078577652
0.3,0.001,1e-05,14258.679247303826,72.25614623833118,244.3181284009126
0.3,0.0001,0.0001,14268.872492336759,72.26783427680262,245.4670989778847
0.3,1e-05,0.0001,14270.118985742569,72.26950143648315,245.58832416774942
0.3,0.0001,1e-05,14271.636723446212,72.27446621322179,245.52025133641865
0.3,1e-05,1e-05,14272.929895510993,72.27619886677743,245.64233958811
3.0,1e-05,0.01,18680.910144860107,96.21287308002458,51494294997.164116
3.0,0.0001,0.01,18681.50509199266,96.21423437150257,51475624743.8653
3.0,1e-05,0.005,18686.937007662444,96.22666257365164,51925534686.714645
3.0,0.001,0.01,18687.304554834504,96.22750303685045,51287693352.07359
3.0,0.0001,0.005,18687.52542345722,96.22800872662509,51905879906.18267
3.0,1e-05,0.001,18691.74222418198,96.23765551182456,52277522128.53803
3.0,0.0001,0.001,18692.3126664414,96.23896039608213,52257953630.04652
3.0,1e-05,0.0001,18692.823731781606,96.24012951307698,52356060701.862625
3.0,1e-05,1e-05,18692.918982799205,96.24034740197439,52364017416.55321
3.0,0.001,0.005,18693.33080677484,96.24128902515038,51714940921.03705
3.0,0.0001,0.0001,18693.385986595553,96.24141563461941,52335918453.75327
3.0,0.0001,1e-05,18693.485304401227,96.24164282335678,52344553336.95779
3.0,0.001,0.001,18698.146142379912,96.25230342832815,52062263735.64093
3.0,0.001,0.0001,18699.174235523533,96.25465488512629,52139465170.12574
3.0,0.001,1e-05,18699.273776904796,96.2548825534574,52146539033.35897
3.0,0.01,0.01,18744.18323647142,96.35753940705177,49421231296.405716
3.0,0.01,0.005,18750.006790733616,96.37084375479662,49830290576.95315
3.0,0.01,0.001,18754.69304294747,96.38154852195842,50162583824.840065
3.0,0.01,0.0001,18755.749069747104,96.3839606325747,50238968045.29641
3.0,0.01,1e-05,18755.862914463476,96.38422066588062,50246224429.15916
1.0,1e-05,0.01,18826.574450171083,96.45111476666837,14723.254593970838
1.0,0.0001,0.01,18826.882821726977,96.45181035816378,14721.067188319417
1.0,0.001,0.01,18829.985799266364,96.45881279325684,14701.032050227346
1.0,1e-05,0.005,18831.10448259691,96.4613816913691,14908.291368821943
1.0,0.0001,0.005,18831.426464662505,96.46210936300433,14906.225364539805
1.0,0.001,0.005,18834.533987377672,96.46912106292737,14885.445835356868
1.0,1e-05,0.001,18834.66607629181,96.469448024691,15058.524221853639
1.0,0.0001,0.001,18834.978751837825,96.47015347496084,15056.625201772662
1.0,1e-05,0.0001,18835.473022145776,96.47127572029459,15092.675296447627
1.0,1e-05,1e-05,18835.55003020638,96.47144931795424,15096.121554667181
1.0,0.0001,0.0001,18835.784005119174,96.47197669116268,15090.652790771901
1.0,0.0001,1e-05,18835.867330537127,96.47216609167334,15094.089726355802
1.0,0.001,0.001,18838.101074931463,96.47720000142971,15035.580091837983
1.0,0.001,0.0001,18838.896622564374,96.4790013113192,15069.597959496059
1.0,0.001,1e-05,18838.96792682389,96.47916199484364,15072.951917501192
1.0,0.01,0.01,18859.84193855485,96.52612599327522,14498.190702003203
1.0,0.01,0.005,18864.455324184717,96.53658220188088,14679.656465549519
1.0,0.01,0.001,18868.103878392427,96.54484834731618,14827.643852898982
1.0,0.01,0.0001,18868.915412007427,96.54668680613348,14860.944356098864
1.0,0.01,1e-05,18869.002662258514,96.54688501959005,14864.395235368242
1.0,0.1,0.01,19056.93376134315,96.96430725862155,12309.88194849133
1.0,0.1,0.005,19061.94878844774,96.97569082731624,12457.91455455156
1.0,0.1,0.001,19065.886279901508,96.98461957963366,12577.56616551579
1.0,0.1,0.0001,19066.783424736608,96.98665551137809,12604.754954926635
1.0,0.1,1e-05,19066.867159030608,96.98684474003048,12607.378471382077
3.0,0.1,0.01,19201.271173743007,97.39638570203674,34116698324.380272
3.0,0.1,0.005,19205.66190490432,97.40631409689371,34399136974.07037
3.0,0.1,0.001,19209.12349073798,97.4141408320373,34625769859.337654
3.0,0.1,0.0001,19209.889038300553,97.41587167655105,34675790315.348854
3.0,0.1,1e-05,19209.962380119236,97.41603749530009,34680711223.98704
0.0,1e-05,0.01,469856.65228495625,3922.394386737425,882.0561903822634
0.0,0.0001,0.01,472450.0640706262,3945.5581755242924,853.0758541877079
0.0,1e-05,0.005,492667.50062977354,3885.743825021993,862.9921805872541
0.0,0.0001,0.005,495359.81822523323,3908.6625604857636,834.7019364224037
0.0,0.001,0.01,498923.8502910674,4182.946362083257,614.0903837230795
0.0,1e-05,0.001,513992.3676240219,3870.174980548292,847.0784954602484
0.0,0.0001,0.001,516764.1459214738,3892.822262472334,819.4290424726032
0.0,1e-05,0.0001,519187.7549996309,3868.4482339026304,843.4145389117314
0.0,1e-05,1e-05,519709.9512407869,3868.273476159058,843.0598128688167
0.0,0.0001,0.0001,521978.4054541356,3891.0418478262145,815.910215870181
0.0,0.0001,1e-05,522513.8674396456,3890.941400996711,815.555830829196
0.0,0.001,0.005,522744.66184866364,4142.6190698733435,601.4907821571069
0.0,0.001,0.001,545016.5968018936,4124.563315333191,591.1884681906895
0.0,0.001,0.0001,550450.2965334217,4122.407691371246,588.831054019174
0.0,0.001,1e-05,550989.6575530263,4122.138971990712,588.6226374623246
0.0,0.01,0.01,798565.4962011382,6985.677250217679,81.08257689668963
0.0,0.01,0.005,829924.7613457567,6895.353854151283,79.85444078791211
0.0,0.01,0.001,859486.6849173814,6841.724722544377,79.24975330198679
0.0,0.01,0.0001,866709.002643699,6832.049033929111,79.1620584760012
0.0,0.01,1e-05,867453.8881978376,6831.2025785976675,79.15554198757307
0.0,0.1,1e-05,1067107.2065513502,13122.094264454448,87.35012139035267
0.0,0.1,0.0001,1067370.6827484288,13126.840307596654,87.35921718956932
0.0,0.1,0.001,1070059.3977795488,13174.82749424521,87.45119474297933
0.0,0.1,0.005,1082345.3434158661,13388.675277216866,87.84762204586714
0.0,0.1,0.01,1098416.0279918145,13657.202390451246,88.31230404308128
