date,WHO_obs,WHO_pred,WHO_nowcast,is_nowcast,n_features_missing
2018-12-01,,10514.703179344233,10514.703179344233,True,3
2019-01-01,,2911.0995248335075,2911.0995248335075,True,3
2019-02-01,,4332.060444981471,4332.060444981471,True,3
2019-03-01,,4705.895674328989,4705.895674328989,True,3
2019-04-01,,3062.9553256817235,3062.9553256817235,True,3
2019-05-01,,3638.349382224489,3638.349382224489,True,3
2019-06-01,,6278.510954395715,6278.510954395715,True,3
2019-07-01,,15364.968896508699,15364.968896508699,True,3
2019-08-01,,19860.40111934334,19860.40111934334,True,3
2019-09-01,,36077.62993556313,36077.62993556313,True,3
2019-10-01,,46762.203645908034,46762.203645908034,True,3
2019-11-01,,37260.01992320836,37260.01992320836,True,2
2019-12-01,,14610.247740710365,14610.247740710365,True,2
2020-01-01,,2436.336717210341,2436.336717210341,True,2
