split_month,feature,beta_hat,coef_y_units_per_stdX,coef_y_units_per_rawX
2025-01,mosq_total_monthly_views,4.282906532287598,4282.906532287598,10823.620038397321
2025-01,x_tilde_lag1,0.2500954270362854,250.0954270362854,12.755881603865774
2025-01,x_tilde_lag2,3.852477550506592,3852.477550506592,194.46770951076124
2025-01,x_tilde_lag12,4.531417369842529,4531.417369842529,220.56648886861262
2025-01,s_sin1,-4.539098739624023,-4539.098739624023,-6452.938174323822
2025-01,s_cos1,-3.6835179328918457,-3683.5179328918457,-5184.508114073115
2025-01,s_sin1_t,-3.03031587600708,-3030.31587600708,-3325.981669775436
2025-01,s_cos1_t,3.530963659286499,3530.963659286499,3878.4129234209113
2025-01,s_sin2,-1.5546625852584839,-1554.662585258484,-2188.1692813127283
2025-01,s_cos2,-1.162005066871643,-1162.005066871643,-1651.9461868755964
2025-01,s_sin2_t,-0.0010363709880039096,-1.0363709880039096,-1.109055105693837
2025-01,s_cos2_t,2.673124074935913,2673.124074935913,2981.2918990504686
2025-01,intercept,18.05104637145996,18051.04637145996,-53542.29530461787
2025-02,g_fever,7.903337001800537,7903.337001800537,38731.72322601484
2025-02,g_vaccine,0.15112556517124176,151.12556517124176,696.0247958874284
2025-02,wiki_views,-2.86151123046875,-2861.51123046875,-3375.7137185706124
2025-02,mosq_total_monthly_views,3.2237915992736816,3223.7915992736816,7682.927220770713
2025-02,x_tilde_lag1,0.9581632614135742,958.1632614135742,49.07870240468823
2025-02,x_tilde_lag2,4.202103614807129,4202.103614807129,214.32433544608267
2025-02,x_tilde_lag12,3.4873673915863037,3487.3673915863037,170.95887976687163
2025-02,s_sin1,-4.628929138183594,-4628.929138183594,-6551.185523449216
2025-02,s_cos1,-4.020147323608398,-4020.1473236083984,-5689.594755579055
2025-02,s_sin1_t,-1.4237717390060425,-1423.7717390060425,-1538.866203779192
2025-02,s_cos1_t,3.7726755142211914,3772.6755142211914,4161.1558436059995
2025-02,s_sin2,-1.3607218265533447,-1360.7218265533447,-1907.6373936010557
2025-02,s_cos2,-0.3027097284793854,-302.7097284793854,-432.4424766207163
2025-02,s_sin2_t,0.40043970942497253,400.43970942497253,423.7314021660668
2025-02,s_cos2_t,-0.5481079816818237,-548.1079816818237,-612.3209219233603
2025-02,intercept,17.836040496826172,17836.040496826172,-37876.22375988609
2025-03,g_fever,7.4646477699279785,7464.6477699279785,36716.31731573001
