resolution,date,value,source
Monthly,2024-11,32,Google_Trends_Dengue_fever
Monthly,2024-12,13,Google_Trends_Dengue_fever
Monthly,2025-01,9,Google_Trends_Dengue_fever
Monthly,2025-02,8,Google_Trends_Dengue_fever
Monthly,2025-03,8,Google_Trends_Dengue_fever
Monthly,2025-04,7,Google_Trends_Dengue_fever
Monthly,2025-05,9,Google_Trends_Dengue_fever
Monthly,2025-06,11,Google_Trends_Dengue_fever
Monthly,2025-07,15,Google_Trends_Dengue_fever
Monthly,2025-08,20,Google_Trends_Dengue_fever
Monthly,2025-09,21,Google_Trends_Dengue_fever
Monthly,2025-10,19,Google_Trends_Dengue_fever
Monthly,2025-11,16,Google_Trends_Dengue_fever
Monthly,2025-12,10,Google_Trends_Dengue_fever
Monthly,2019-11,96,Google_Trends_Dengue_vaccine
Monthly,2019-12,37,Google_Trends_Dengue_vaccine
Monthly,2020-01,24,Google_Trends_Dengue_vaccine
Monthly,2020-02,27,Google_Trends_Dengue_vaccine
Monthly,2020-03,45,Google_Trends_Dengue_vaccine
Monthly,2020-04,47,Google_Trends_Dengue_vaccine
Monthly,2020-05,77,Google_Trends_Dengue_vaccine
Monthly,2020-06,49,Google_Trends_Dengue_vaccine
Monthly,2020-07,64,Google_Trends_Dengue_vaccine
Monthly,2020-08,44,Google_Trends_Dengue_vaccine
Monthly,2020-09,56,Google_Trends_Dengue_vaccine
Monthly,2020-10,37,Google_Trends_Dengue_vaccine
Monthly,2020-11,33,Google_Trends_Dengue_vaccine
Monthly,2020-12,27,Google_Trends_Dengue_vaccine
Monthly,2021-01,31,Google_Trends_Dengue_vaccine
Monthly,2021-02,23,Google_Trends_Dengue_vaccine
Monthly,2021-03,25,Google_Trends_Dengue_vaccine
Monthly,2021-04,23,Google_Trends_Dengue_vaccine
Monthly,2021-05,33,Google_Trends_Dengue_vaccine
Monthly,2021-06,27,Google_Trends_Dengue_vaccine
Monthly,2021-07,32,Google_Trends_Dengue_vaccine
Monthly,2021-08,47,Google_Trends_Dengue_vaccine
Monthly,2021-09,71,Google_Trends_Dengue_vaccine
Monthly,2021-10,98,Google_Trends_Dengue_vaccine
Monthly,2021-11,66,Google_Trends_Dengue_vaccine
Monthly,2021-12,25,Google_Trends_Dengue_vaccine
Monthly,2022-01,23,Google_Trends_Dengue_vaccine
Monthly,2022-02,23,Google_Trends_Dengue_vaccine
Monthly,2022-03,33,Google_Trends_Dengue_vaccine
Monthly,2022-04,22,Google_Trends_Dengue_vaccine
Monthly,2022-05,23,Google_Trends_Dengue_vaccine
Monthly,2022-06,30,Google_Trends_Dengue_vaccine
Monthly,2022-07,29,Google_Trends_Dengue_vaccine
Monthly,2022-08,38,Google_Trends_Dengue_vaccine
Monthly,2022-09,57,Google_Trends_Dengue_vaccine
Monthly,2022-10,63,Google_Trends_Dengue_vaccine
Monthly,2022-11,65,Google_Trends_Dengue_vaccine
Monthly,2022-12,31,Google_Trends_Dengue_vaccine
Monthly,2023-01,24,Google_Trends_Dengue_vaccine
Monthly,2023-02,25,Google_Trends_Dengue_vaccine
Monthly,2023-03,28,Google_Trends_Dengue_vaccine
Monthly,2023-04,25,Google_Trends_Dengue_vaccine
Monthly,2023-05,30,Google_Trends_Dengue_vaccine
Monthly,2023-06,33,Google_Trends_Dengue_vaccine
Monthly,2023-07,38,Google_Trends_Dengue_vaccine
Monthly,2023-08,74,Google_Trends_Dengue_vaccine
Monthly,2023-09,100,Google_Trends_Dengue_vaccine
Monthly,2023-10,92,Google_Trends_Dengue_vaccine
Monthly,2023-11,56,Google_Trends_Dengue_vaccine
Monthly,2023-12,32,Google_Trends_Dengue_vaccine
Monthly,2024-01,34,Google_Trends_Dengue_vaccine
Monthly,2024-02,38,Google_Trends_Dengue_vaccine
Monthly,2024-03,23,Google_Trends_Dengue_vaccine
Monthly,2024-04,26,Google_Trends_Dengue_vaccine
Monthly,2024-05,38,Google_Trends_Dengue_vaccine
Monthly,2024-06,38,Google_Trends_Dengue_vaccine
Monthly,2024-07,76,Google_Trends_Dengue_vaccine
Monthly,2024-08,85,Google_Trends_Dengue_vaccine
Monthly,2024-09,67,Google_Trends_Dengue_vaccine
Monthly,2024-10,64,Google_Trends_Dengue_vaccine
Monthly,2024-11,64,Google_Trends_Dengue_vaccine
Monthly,2024-12,38,Google_Trends_Dengue_vaccine
Monthly,2025-01,32,Google_Trends_Dengue_vaccine
Monthly,2025-02,28,Google_Trends_Dengue_vaccine
Monthly,2025-03,35,Google_Trends_Dengue_vaccine
Monthly,2025-04,40,Google_Trends_Dengue_vaccine
Monthly,2025-05,41,Google_Trends_Dengue_vaccine
Monthly,2025-06,32,Google_Trends_Dengue_vaccine
Monthly,2025-07,45,Google_Trends_Dengue_vaccine
Monthly,2025-08,43,Google_Trends_Dengue_vaccine
Monthly,2025-09,34,Google_Trends_Dengue_vaccine
Monthly,2025-10,34,Google_Trends_Dengue_vaccine
Monthly,2025-11,34,Google_Trends_Dengue_vaccine
Monthly,2025-12,32,Google_Trends_Dengue_vaccine
Monthly,2024-01,5079,OpenDengue_National_Monthly
Monthly,2024-02,5429,OpenDengue_National_Monthly
Monthly,2024-03,5597,OpenDengue_National_Monthly
Monthly,2024-04,3342,OpenDengue_National_Monthly
Monthly,2024-05,5145,OpenDengue_National_Monthly
Monthly,2024-06,7499,OpenDengue_National_Monthly
Monthly,2024-07,27675,OpenDengue_National_Monthly
Monthly,2024-08,32388,OpenDengue_National_Monthly
Monthly,2024-09,41375,OpenDengue_National_Monthly
Monthly,2024-10,51183,OpenDengue_National_Monthly
