date,year,month,x_pred,g_fever,g_vaccine,wiki_raw,wiki_views,g_fever_z,g_vaccine_z,wiki_views_z,y_who
2024-01,2024,1,10005.1044921875,25.0,30.0,2407.4712,7.786747468348793,-0.15420733579824597,-0.5443981896705422,-0.0703146657095658,5079.0
2024-02,2024,2,5861.75146484375,16.0,31.0,2340.3037,7.758463189960825,-0.5498433511720261,-0.48422786344379803,-0.09671054373582409,5429.0
2024-03,2024,3,5190.60986328125,13.0,25.0,1849.6489,7.5232916133283565,-0.6817220229632862,-0.8452498208042627,-0.3161808857712835,5597.0
2024-04,2024,4,3880.777099609375,12.0,23.0,1364.129,7.219004208648203,-0.7256815802270395,-0.9655904732577509,-0.6001525363360293,3342.0
2024-05,2024,5,5601.70654296875,14.0,35.0,1592.341,7.373588348521297,-0.6377624656995328,-0.2435465585368216,-0.45588920937697824,5145.0
2024-06,2024,6,10278.203125,26.0,36.0,1555.0182,7.349885401328029,-0.11024777853449261,-0.1833762323100775,-0.4780096288691897,7499.0
2024-07,2024,7,27366.119140625,50.0,62.0,2828.7245,7.94793463607516,0.9447815957955878,1.3810522495852693,0.08011083782787436,27675.0
2024-08,2024,8,34700.859375,65.0,67.0,2100.1749,7.6502519434535365,1.6041749547518882,1.6819038807189899,-0.19769706439921916,32388.0
2024-09,2024,9,41415.2421875,63.0,54.0,2551.7948,7.844944037982955,1.5162558402243815,0.8996896397713166,-0.01600359110695278,41375.0
2024-10,2024,10,46104.4296875,54.0,47.0,2677.8742,7.893151910621974,1.1206198248506012,0.4784973561841077,0.028985682037319414,51183.0
2024-11,2024,11,29918.625,32.0,47.0,2133.5331,7.666003213222313,0.15350956504802749,0.4784973561841077,-0.18299742844343078,30354.0
2024-12,2024,12,14216.736328125,17.0,31.0,1169.4372,7.065132633206282,-0.5058837939082728,-0.48422786344379803,-0.7437508732411316,17359.0
2025-01,2025,1,3662.205078125,13.0,25.0,1067.1823,6.973713697837662,-0.6817220229632862,-0.8452498208042627,-0.8290662217248673,4700.0
2025-02,2025,2,3952.91943359375,11.0,24.0,742.0104,6.610710041928008,-0.7696411374907929,-0.9054201470310068,-1.1678339319363866,3806.0
2025-03,2025,3,3968.3828125,10.0,26.0,655.7098,6.487242216185929,-0.8136006947545462,-0.7850794945775186,-1.283058426044096,3517.0
2025-04,2025,4,2208.900634765625,9.0,30.0,602.5579,6.402841976283575,-0.8575602520182996,-0.5443981896705422,-1.361823682392201,2700.0
2025-05,2025,5,3323.846923828125,9.0,30.0,792.1904,6.676063293697967,-0.8575602520182996,-0.5443981896705422,-1.1068439912111168,3766.0
2025-06,2025,6,3746.960693359375,13.0,22.0,791.9278,6.67573217083159,-0.6817220229632862,-1.025760799484495,-1.10715300665329,6459.0
2025-07,2025,7,10514.1044921875,18.0,37.0,852.0587,6.748828361067699,-0.4619242366445194,-0.12320590608333339,-1.0389370848895838,10302.0
2025-08,2025,8,11945.62109375,23.0,36.0,1100.9271,7.0048158350745995,-0.24212645032575267,-0.1833762323100775,-0.8000406192470125,14303.0
2025-09,2025,9,18777.751953125,22.0,36.0,908.633,6.813041221461612,-0.28608600758950603,-0.1833762323100775,-0.9790113972893689,18803.0
2025-10,2025,10,27722.31640625,20.0,29.0,771.3006,6.649373852475085,-0.3740051221170127,-0.6045685158972862,-1.1317515114046628,22659.0
2025-11,2025,11,22327.83984375,17.0,36.0,668.6939,6.506820742318451,-0.5058837939082728,-0.1833762323100775,-1.264787060565392,22175.0
2025-12,2025,12,10645.01171875,10.0,30.0,488.4914,6.193366892868323,-0.8136006947545462,-0.5443981896705422,-1.5573131580480977,7539.0
2026-01,2026,1,1357.1640625,8.0,27.0,291.1217,5.677170496261198,-0.9015198092820529,-0.7249091683507745,-2.0390456928343466,3544.0
2026-02,2026,2,2480.516357421875,8.0,29.0,279.3269,5.635956422171117,-0.9015198092820529,-0.6045685158972862,-2.077508108517178,3019.0
2026-03,2026,3,2762.410888671875,7.0,22.0,358.422,5.8844971856090105,-0.9454793665458062,-1.025760799484495,-1.8455611736768482,
